"","Location","Year","Month","average_WindGustSpeed"
"525","Ballarat",2010,"March",41.0967741935484
"526","Ballarat",2010,"May",37.1935483870968
"527","Ballarat",2010,"November",44.3333333333333
"528","Ballarat",2010,"October",42.258064516129
"529","Ballarat",2010,"September",44.0666666666667
"530","Ballarat",2011,"August",41.1612903225806
"531","Ballarat",2011,"December",46.3770922554296
"532","Ballarat",2011,"February",46.6156452313465
"533","Ballarat",2011,"January",43.8354920135931
"534","Ballarat",2011,"July",46.2903225806452
"535","Ballarat",2011,"June",44.1
"536","Ballarat",2011,"March",44.7954450428426
"537","Ballarat",2011,"May",37.5483870967742
"538","Ballarat",2011,"November",45.6903688614878
"539","Ballarat",2011,"October",43.3551619184774
"540","Ballarat",2011,"September",51.4666666666667
"541","Ballarat",2012,"April",39.1
"542","Ballarat",2012,"August",50.4193548387097
"543","Ballarat",2012,"February",45.7586206896552
"544","Ballarat",2012,"January",52.9960329522709
"545","Ballarat",2012,"July",39.5705722984407
"546","Ballarat",2012,"June",43.0333333333333
"547","Ballarat",2012,"March",46.7810768352882
"548","Ballarat",2012,"May",40.0645161290323
"549","Ballarat",2012,"November",45.3333333333333
"550","Ballarat",2012,"October",43.8709677419355
"551","Ballarat",2012,"September",47.5
"552","Ballarat",2013,"April",40.4666666666667
"553","Ballarat",2013,"August",51.6451612903226
"554","Ballarat",2013,"December",46.8709677419355
"555","Ballarat",2013,"January",50.1290322580645
"556","Ballarat",2013,"July",44.5483870967742
"557","Ballarat",2013,"June",37.2
"558","Ballarat",2013,"March",46.1935483870968
"559","Ballarat",2013,"May",41.741935483871
"560","Ballarat",2013,"November",45.8333333333333
"561","Ballarat",2013,"October",50.4516129032258
"562","Ballarat",2013,"September",49.7
"563","Ballarat",2014,"April",42.5333333333333
"564","Ballarat",2014,"August",38.741935483871
"565","Ballarat",2014,"December",46.9354838709677
"566","Ballarat",2014,"February",50.5357142857143
"567","Ballarat",2014,"January",50.7096774193548
"568","Ballarat",2014,"July",45.8387096774194
"569","Ballarat",2014,"June",43.6
"570","Ballarat",2014,"March",43.7741935483871
"571","Ballarat",2014,"May",40.2258064516129
"572","Ballarat",2014,"November",45.5477284772942
"573","Ballarat",2014,"October",46.7741935483871
"574","Ballarat",2014,"September",44.4878596470691
"575","Ballarat",2015,"April",41.9478502064322
"576","Ballarat",2015,"August",41.8387096774194
"577","Ballarat",2015,"December",48.6451612903226
"578","Ballarat",2015,"February",47.6785714285714
"579","Ballarat",2015,"January",49.6774193548387
"580","Ballarat",2015,"July",45.8387096774194
"581","Ballarat",2015,"June",38.2333333333333
"582","Ballarat",2015,"March",46.5806451612903
"583","Ballarat",2015,"May",46.258064516129
"584","Ballarat",2015,"November",47.3333333333333
"585","Ballarat",2015,"October",46.5806451612903
"586","Ballarat",2015,"September",42.1666666666667
"587","Ballarat",2016,"April",43.8
"588","Ballarat",2016,"August",44.3225806451613
"589","Ballarat",2016,"December",46.7741935483871
"590","Ballarat",2016,"February",45.0734123946007
"591","Ballarat",2016,"January",49.8064516129032
"592","Ballarat",2016,"July",50.2903225806452
"593","Ballarat",2016,"June",41.6666666666667
"594","Ballarat",2016,"March",44.8709677419355
"595","Ballarat",2016,"May",49.258064516129
"596","Ballarat",2016,"November",44.6333333333333
"597","Ballarat",2016,"October",54.4635466972606
"598","Ballarat",2016,"September",44.9666666666667
"599","Ballarat",2017,"April",40.9198986445243
"600","Ballarat",2017,"February",46
"601","Ballarat",2017,"January",44.2903225806452
"602","Ballarat",2017,"June",31.72
"603","Ballarat",2017,"March",46.6451612903226
"604","Ballarat",2017,"May",38.258064516129
"605","Bendigo",2008,"December",43.9229329592819
"606","Bendigo",2009,"April",38.8944333172714
"607","Bendigo",2009,"August",41.6774193548387
"608","Bendigo",2009,"December",45.4702849363187
"609","Bendigo",2009,"February",45.3301427586536
"610","Bendigo",2009,"January",45.6451612903226
"611","Bendigo",2009,"July",36.0357417545371
"612","Bendigo",2009,"June",28.4666666666667
"613","Bendigo",2009,"March",39.4193548387097
"614","Bendigo",2009,"May",32.8387096774194
